;DATASET;EMISSIEJAAR;STOFCODE;STOF;DOELGROEPCODE;DOELGROEP;SUBDOELGROEPCODE;SUBDOELGROEP;BEDRIJFSNAAM;XCO_BEDRIJF;YCO_BEDRIJF;XCO_EMISSIEPUNT;YCO_EMISSIEPUNT;HOOGTE;LENGTE;BREEDTE;UITSTROOMOPENING;HOEK;WARMTEINHOUD;COMPARTIMENT;EMISSIE;XCO_EMISSIEPUNT_HARM;YCO_EMISSIEPUNT_HARM;XCO_BEDRIJF_HARM;YCO_BEDRIJF_HARM
0;ER Reeks 1990-2022 Definitief;2022;523;Methaan;8;Bouw;pub_0802;Overig bouw;Veolia Industriediensten BV;193118;442151;193143.0;442175.0;40.0;;;2.2;;0.398;Lucht;293.11;193143.0;442175.0;193118;442151
1;ER Reeks 1990-2022 Definitief;2022;523;Methaan;12;Handel. Diensten en Overheid (HDO);pub_1201;Energiegebruik en processen Handel. Diensten en Overheid (HDO);Odfjell Terminals (Rotterdam) BV;81505;432967;81218.0;433272.0;20.0;;;0.0;;0.28;Lucht;73.8;81218.0;433272.0;81505;432967
2;ER Reeks 1990-2022 Definitief;2022;523;Methaan;12;Handel. Diensten en Overheid (HDO);pub_1201;Energiegebruik en processen Handel. Diensten en Overheid (HDO);Odfjell Terminals (Rotterdam) BV;81505;432967;81505.0;432967.0;20.0;;;0.0;;0.132;Lucht;768.0;81505.0;432967.0;81505;432967
3;ER Reeks 1990-2022 Definitief;2022;523;Methaan;12;Handel. Diensten en Overheid (HDO);pub_1201;Energiegebruik en processen Handel. Diensten en Overheid (HDO);UMC St Radboud & Radboud Universiteit Nijmegen;187976;425797;187709.0;426402.0;38.0;0.0;0.0;0.0;;0.0116666666666667;Lucht;169.8;187709.0;426402.0;187976;425797
4;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Heugem;178114;314163;;;;;;;;;Lucht;1534.9566;;;178114;314163
5;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Rijen;122799;401716;;;;;;;;;Lucht;14203.6236375;;;122799;401716
6;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Coevorden;245056;518100;;;;;;;;;Lucht;11847.108825;;;245056;518100
7;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Geldermalsen;147300;433177;;;;;;;;;Lucht;5288.83235;;;147300;433177
8;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Riel;129790;393974;;;;;;;;;Lucht;1964.373525;;;129790;393974
9;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Halsteren;76500;393800;;;;;;;;;Lucht;4281.9622125;;;76500;393800
10;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Deventer;205618;476167;;;;;;;;;Lucht;21954.842891235;;;205618;476167
11;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Akkrum;185000;562100;;;;;;;;;Lucht;1543.6193875;;;185000;562100
12;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Nieuwe Wetering;101300;469900;;;;;;;;;Lucht;6275.1612;;;101300;469900
13;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Maasbommel;164300;426800;;;;;;;;;Lucht;560.072775;;;164300;426800
14;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Eelde;236426;571943;;;;;;;;;Lucht;13229.9862875;;;236426;571943
15;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Velsen;105555;497104;;;;;;;;;Lucht;18617.1981636439;;;105555;497104
16;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Heenvliet;76600;431700;;;;;;;;;Lucht;1460.54715;;;76600;431700
17;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Waarde;62300;383000;;;;;;;;;Lucht;4950.472525;;;62300;383000
18;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI De Stolpen;111100;535800;;;;;;;;;Lucht;7792.9413875;;;111100;535800
19;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Tholen;74853;395274;;;;;;;;;Lucht;3560.9643;;;74853;395274
20;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Terschelling;145100;598000;;;;;;;;;Lucht;2009.1525625;;;145100;598000
21;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Renkum;178200;442100;;;;;;;;;Lucht;16868.2482137168;;;178200;442100
22;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Zuidhorn;221500;585400;;;;;;;;;Lucht;3493.1329125;;;221500;585400
23;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Glanerbrug;263700;471300;;;;;;;;;Lucht;3967.85475;;;263700;471300
24;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Maarheeze;169275;369189;;;;;;;;;Lucht;4517.462625;;;169275;369189
25;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Sint Oedenrode;159000;396900;;;;;;;;;Lucht;16671.51285;;;159000;396900
26;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Arnhem-Zuid;187132;442198;;;;;;;;;Lucht;81936.4369328098;;;187132;442198
27;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Den Helder;114848;549247;;;;;;;;;Lucht;21780.1945370124;;;114848;549247
28;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Alkmaar;111269;517400;;;;;;;;;Lucht;11594.35454259824;;;111269;517400
29;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Emmen;255924;528133;;;;;;;;;Lucht;17095.29327672516;;;255924;528133
30;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Losser;266000;476000;;;;;;;;;Lucht;4815.35735;;;266000;476000
31;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Amstelveen;121063;480600;;;;;;;;;Lucht;20523.246257829753;;;121063;480600
32;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;AWZI Tollebeek;175300;522200;;;;;;;;;Lucht;22881.8951498741;;;175300;522200
33;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Ootmarsum;260100;492800;;;;;;;;;Lucht;2463.5619625;;;260100;492800
34;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Montfoort;124219;450515;;;;;;;;;Lucht;2413.2101375;;;124219;450515
35;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Dedemsvaart (Woudbloemweg);228613;514169;;;;;;;;;Lucht;12155.4774;;;228613;514169
36;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Steenwijk;203100;533300;;;;;;;;;Lucht;11575.8244;;;203100;533300
37;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Olst;204280;484839;;;;;;;;;Lucht;4057.2160625;;;204280;484839
38;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Papendrecht;107800;426600;;;;;;;;;Lucht;6360.7679375;;;107800;426600
39;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Bergambacht;113800;439300;;;;;;;;;Lucht;3051.5299875;;;113800;439300
40;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Wijk bij Duurstede;149593;442642;;;;;;;;;Lucht;4988.303225;;;149593;442642
41;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Breukelen;128100;464100;;;;;;;;;Lucht;2573.2900875;;;128100;464100
42;ER Reeks 1990-2022 Definitief;2022;523;Methaan;11;Riolering en waterzuiveringsinstallaties;pub_1102;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;RWZI Waspik;124200;413000;;;;;;;;;Lucht;1469.2896375;;;124200;413000
