;DATASET;EMISSIEJAAR;STOFCODE;STOF;CODE_EMISSIEOORZAAK;EMISSIEOORZAAK;CODE_BEDRIJF;NAAM_BEDRIJF;SBI_CODE;SBI;XCO_BEDRIJF;YCO_BEDRIJF;IDG_CODE;IDG_NAAM;EMISSIEPUNT_CODE;EMISSIEPUNT_NAAM;XCO_EMISSIEPUNT;YCO_EMISSIEPUNT;TYPE;HOOGTE;LENGTE;BREEDTE;HOEK;UITSTROOMOPENING_M2;TEMPERATUUR;UITTREEDSNELHEID;VOLUMESTROOM;WARMTEINHOUD;EMISSIE;XCO_EMISSIEPUNT_HARM;YCO_EMISSIEPUNT_HARM;XCO_BEDRIJF_HARM;YCO_BEDRIJF_HARM
0;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102700;SBI 20.15 (per bedrijf): Vervaardiging van kunstmeststoffen en stikstofverbindingen;115186;Yara Vlaardingen BV;20150;Vervaardiging van kunstmeststoffen en stikstofverbindingen;81938;435008;pub_0303;Chemische Industrie kunstmeststoffen;37488;Spec en sub;81830;434880;P;20.0;;;;2.0;;;;0.042;232583.5;81830;434879;81938;435007
1;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;11658;Farm Frites BV;10310;Vervaardiging van aardappelproducten;70714;426770;pub_0216;Voedings- en genotmiddelenindustrie;38888;TVW ketel;70645;426740;P;10.0;;;;0.78;130.0;4.0;3.333;0.505;19017904.0;70645;426739;70714;426769
2;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T101100;SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten;12135;ExxonMobil Chemical Holland BV (ROP van RPI);20141;Vervaardiging van petrochemische producten;72300;438500;pub_0301;Chemische Industrie basisproducten;7999;Schoorsteen hot oil fornuis;72250;438519;P;20.0;;;;0.0;;;;0.516;3358327.0;72250;438518;72300;438499
3;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102501;SBI 20.141 (per bedrijf): Vervaardiging van petrochemische producten;12135;ExxonMobil Chemical Holland BV (ROP van RPI);20141;Vervaardiging van petrochemische producten;72300;438500;pub_0301;Chemische Industrie basisproducten;36093;EMCHBV ROP;72320;438505;P;29.0;;;;0.0;;;;0.004;179952.0;72320;438504;72300;438499
4;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;49006;RWE Generation NL B.V.;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;99234;410988;pub_0503;Opwekking electriciteit;44561;Schoorsteen STEG;99087;411093;P;65.0;;;;6.92;82.0;19.0;130.0;11.684;345786400.0;99087;411092;99234;410987
5;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;62010;Nestle Nederland BV (Nunspeet);10860;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;182480;488580;pub_0216;Voedings- en genotmiddelenindustrie;37076;Divers, overig, diffuus;182480;488580;P;5.0;;;;;;;;0.0;1821018.0;182480;488579;182480;488579
6;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;62010;Nestle Nederland BV (Nunspeet);10860;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;182480;488580;pub_0216;Voedings- en genotmiddelenindustrie;47064;Ingredienten (LUWA);182576;488586;P;27.0;;;;0.64;;;;0.03;483349.0;182576;488585;182480;488579
7;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104702;SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, aluminium;43856;Sapa Profiles NL BV (Drunen);24420;Vervaardiging van aluminium;138700;411500;pub_0201;Basismetaal;38317;Homogeniseeroven IV (IN8);138700;411500;P;12.0;;;;0.28;185.0;17857.0;5000.0;0.306944444444444;803000.0;138700;411499;138700;411499
8;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T104201;SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's;44007;SUEZ ReEnergy Roosendaal;38110;Inzameling van onschadelijk afval;89550;395830;pub_0901;AVI's;41734;Schoorsteen BAVIRO lijn 1;89550;395830;P;80.0;;;;1.8;135.0;21.0;37.5;5.922;183003500.0;89550;395829;89550;395829
9;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;44008;Ennatuurlijk BV (Helmond);35140;Handel in elektriciteit en in gas via leidingen;175950;386100;pub_0503;Opwekking electriciteit;37297;STEG 1;175905;386080;P;45.0;;;;8.0;;;;9.81;16138445.0;175905;386079;175950;386099
10;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108502;SBI 35.12 (per bedrijf): Transportnet voor aardgas;61517;Gasunie (Zweekhorst);35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;202845;441955;pub_0502;Olie- gaswinning land;9044;Testen No break en aggregaten;203000;442080;P;5.0;;;;1.0;283.0;0.0;0.01;0.003;1049.45426337975;203000;442079;202845;441954
11;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108502;SBI 35.12 (per bedrijf): Transportnet voor aardgas;61517;Gasunie (Zweekhorst);35120;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;202845;441955;pub_0502;Olie- gaswinning land;35618;Divers, overig, diffuus;203000;442080;P;5.0;;;;0.0;;;;0.0;261544.54573662;203000;442079;202845;441954
12;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102800;SBI 20.16 (per bedrijf): Vervaardiging van kunststof in primaire vorm;81202;Aliancys Nederland B.V.;20160;Vervaardiging van kunststof in primaire vorm;255180;523500;pub_0301;Chemische Industrie basisproducten;38598;Incinerator 3 Snb II;255270;522970;P;10.0;;;;0.0;250.0;64.0;21.0;6.417;817618.5559;255270;522969;255180;523499
13;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T100201;SBI 10-12 (per bedrijf): Voedings- & genotmiddelenindustrie;82002;FrieslandCampina Domo (Beilen);10510;Vervaardiging van zuivelproducten (geen consumptie-ijs);231300;541530;pub_0216;Voedings- en genotmiddelenindustrie;42346;Torens;231300;541530;P;30.0;;;;0.0;150.0;;0.769;0.136;5039910.99;231300;541529;231300;541529
14;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T102300;SBI 24.4/24.5 (per bedrijf): Basismetaalindustrie, vervaardiging van non-ferro metalen en gieten van metalen;83501;Rademakers Gieterij BV;24510;Gieten van ijzer;261750;526950;pub_0201;Basismetaal;40756;Divers, overig, diffuus;261750;526950;P;5.0;;;;;;;;0.0;892000.0;261750;526949;261750;526949
15;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;24000;Nuon Power Generation BV (Hemweg);35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;118246;490968;pub_0503;Opwekking electriciteit;44635;HW 09;117959;491138;P;60.0;;;;8.0;82.0;11.0;543.0;48.804;628372290.0;117959;491137;118246;490967
16;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108400;SBI 30.1 (per bedrijf): Scheepsbouw;10921;Damen Shiprepair Rotterdam;33150;Reparatie en onderhoud van schepen;85500;435500;pub_0210;Metaalelektro;39561;verwarmingsketels werkplaats;85500;435500;P;25.0;;;;0.2;;;;3.2;817911.75;85500;435499;85500;435499
17;ER Reeks 1990-2022 Definitief;2022;204;Koolstofdioxide;T108500;SBI 35 (per bedrijf): Productie en distributie van elektriciteit en gas;10953;E.On Generations Den Haag;35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;79821;454750;pub_0503;Opwekking electriciteit;40785;EDH1;79810;454745;P;84.0;;;;8.6;;;;5.9;33564000.0;79810;454744;79821;454749
